TRT,Replica,5cm1WAT,10cm1WAT,5cm2WAT,10cm2WAT,5cm3WAT,10cm3WAT,5cm4WAT,10cm4WAT,5cm5WAT,10cm5WAT,5cm6WAT,10cm6WAT,5cm7WAT,10cm7WAT,5cm8WAT,10cm8WAT,5cm9WAT,10cm9WAT,5cm10WAT,10cm10WAT
FLD,1,32.5,31.6,31.1,30.6,31.1,30.6,24.6,24.8,31.1,30.6,34.6,35.6,27.1,27.1,26.6,26.5,24.4,24.7,28.2,28.2
2DW,1,32.9,32.1,31.5,30.9,34,34.1,24.6,24.9,34,34.1,34.9,35.3,27.8,27.9,28.6,28.2,24.6,25,29,28.5
4DW,1,32.5,32.8,32.5,31.8,34.9,35.6,24.8,24.8,34.9,35.6,34.8,35.6,28.8,28.3,27.9,27.6,24.2,24.4,28.7,28.6
6DW,1,32.8,32.4,32.4,32.6,34.4,35.1,24.6,24.8,34.4,35.1,34.6,35.3,28.9,28.1,27.6,27.5,24.1,24.2,28.9,28.8
2DW,2,32.5,31.6,31.5,31.3,34.1,34.6,24.5,24.8,35.1,34.3,34.1,34.6,27.8,28,26.8,26.8,25,25.2,28.9,28.7
6DW,2,33.1,33.3,32.9,32.5,34.3,34.9,24.9,24.6,37.3,37.1,34.3,34.9,27.9,27.6,28.1,27.9,24.5,25,29.5,29
FLD,2,32.5,31.3,31.3,30.9,34,34.8,24.6,24.6,34.8,34.2,34,34.8,27.3,27.5,26.5,26.7,24.4,24.7,28.5,28.5
4DW,2,32.6,32.4,32.4,31.6,36.9,37.4,25.1,25.1,35.5,35.3,36.9,37.4,27.7,27.9,27.3,27.3,24.9,24.9,28.5,28.6
6DW,3,32.7,32.6,32.5,32.4,32.7,32.6,25.1,25,32.3,32.1,33.6,34.1,27.4,27,27.6,27.6,24.5,24.7,28.6,28.6
FLD,3,31.9,30.9,31.8,31.1,31.9,30.9,24.6,24.8,34,34,33.8,34.6,27.2,27.3,26.7,26.5,24.7,25.1,27.6,27.6
2DW,3,32.1,31.7,30.8,31.8,32.1,31.7,24.9,25.1,35.6,35.8,34.3,34.8,27.8,27.9,26.8,26.8,24.8,24.9,28.8,28.8
4DW,3,33.1,32.3,32.5,33.9,33.1,32.3,24.6,24.8,35,35.1,34.3,34.8,27.6,27.3,26.9,26.9,25.1,25.2,28.4,28.3
